err_z,err_y
-14,-80
-19,-80
-19,-80
-19,-80
-17,-84
-17,-84
-17,-84
-18,-45
-18,-45
-18,-45
-22,-8
-22,-8
-22,-8
-22,-3
-22,-3
-22,-3
-20,-3
-20,-3
-20,-3
-18,-1
-18,-1
-18,-1
-15,2
-15,2
-15,2
-13,3
-13,3
-13,3
-10,4
-10,4
-10,4
-7,4
-7,4
-7,4
-4,4
-4,4
-4,4
0,4
0,4
0,4
4,3
4,3
4,3
9,3
9,3
9,3
13,3
13,3
13,3
18,3
18,3
18,3
23,2
23,2
23,2
28,2
28,2
28,2
32,1
32,1
32,1
37,1
37,1
37,1
40,0
40,0
40,0
44,0
44,0
44,0
48,0
48,0
48,0
52,-1
52,-1
52,-1
55,-2
55,-2
55,-2
58,-2
58,-2
58,-2
61,-2
61,-2
61,-2
64,-3
64,-3
64,-3
69,-4
69,-4
69,-4
79,-3
79,-3
79,-3
94,-1
94,-1
94,-1
109,2
109,2
109,2
114,3
114,3
114,3
112,-1
112,-1
112,-1
109,-5
109,-5
109,-5
105,-8
105,-8
105,-8
101,-9
101,-9
101,-9
98,-6
98,-6
98,-6
95,-7
95,-7
95,-7
92,-11
92,-11
92,-11
90,-11
90,-11
90,-11
87,-10
87,-10
87,-10
85,-9
85,-9
85,-9
82,-9
82,-9
82,-9
81,-10
81,-10
81,-10
79,-10
79,-10
79,-10
78,-10
78,-10
78,-10
76,-10
76,-10
76,-10
75,-10
75,-10
75,-10
73,-11
73,-11
73,-11
72,-17
72,-17
72,-17
70,-18
70,-18
70,-18
68,-16
68,-16
68,-16
64,-13
64,-13
64,-13
62,-11
62,-11
62,-11
60,-10
60,-10
60,-10
60,-10
60,-10
60,-10
60,-9
60,-9
60,-9
61,-8
61,-8
61,-8
62,-6
62,-6
62,-6
64,-6
64,-6
64,-6
67,-6
67,-6
67,-6
69,-6
69,-6
69,-6
70,-6
70,-6
70,-6
70,-6
70,-6
70,-6
69,-5
69,-5
69,-5
68,-4
68,-4
68,-4
68,-3
68,-3
68,-3
70,-1
70,-1
70,-1
71,-1
71,-1
71,-1
73,-1
73,-1
73,-1
75,0
75,0
75,0
78,0
78,0
78,0
79,0
79,0
79,0
80,0
80,0
80,0
80,0
80,0
80,0
81,1
81,1
81,1
80,0
80,0
80,0
80,0
80,0
80,0
79,0
79,0
79,0
78,0
78,0
78,0
78,0
78,0
78,0
77,0
77,0
77,0
76,0
76,0
76,0
75,-1
75,-1
75,-1
74,-1
74,-1
